Restaurant Name,URL,Restaurant Stars,No. Of Reviews,Categories,# Of Categories,Price,Reviewer Name,Review Stars,Date Of Review,Review,Review Length,Reviewer Location,LocationB,Useful,Funny,Cool
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,Erika S.,5,11/11/2021,Love the Tin Widow! Favorite spot to bring friends who come into town for a visit. My husband and I also enjoy just stopping in on a random week day :),31,"Milwaukee, WI",1,0,0,0
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,Nolan H.,5,4/20/2021,Cool place to go for a date. Very nice decor inside & great selection of drinks.,16,"Commerce, MI",0,0,0,0
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2?osq=Bars,4.5,65,"Whiskey Bars, Cocktail Bars",2,2,Augie R.,5,8/22/2019,"Terrific bar in Walker's Point.  Tin Window has a dark, inviting ambiance, which is enhanced by great drinks and a friendly bartender.  Sam was very welcoming, and even when the bar got busy, he ably took care of everyone without disturbing his friendly nature. I loved the Manhattan, which was a little on the sweet side, just like I like it. The selection of liquor was impressive--you'd have to work hard to find a brand Tin Widow doesn't carry.",79,"Milwaukee, WI",1,0,0,0
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,Lauren A.,5,4/29/2022,Came here for my sister-in-law's birthday and had a lovely time! Great spot for close chats :),17,"Chicago, IL",0,2,0,1
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,AnnaMarie A.,5,03/02/2022,"Made a reservation for me and the beau, and it was definitely worth the drive. Finding the speakeasy was definitely more difficult than it needed to be - only because we were so distracted by the floor to rooftop murals down Black Cat Alley. I was in absolute awe. Once we arrived, the atmosphere was at its utmost intimate. Only lit by candles, close in proximity - amazing for a couples night out. The drinks were fabulous, hitting more tastebuds in my palate than I could handle at moments. We got drinks that I couldn't tell you the name of. I believe Shanghai Fog, Old Fashioned, Endless Times, and one other. Those are probably wrong We will be back!",119,"Lecanto, FL",0,0,0,0
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,Michael C.,5,1/27/2022,"Fantastic bar!  Cozy environment with a great team.  I don't often order a ""dealers choice"" where you tell them what you're in the mood for and the bartender makessomething, but we decided to try it and got three 5/5 amazing drinks.  We couldn't believe how each one was EXACTLY what we would want.  Excited to try more creations, this bartender is a genius and the hostess was delightful.",68,"Chicago, IL",0,0,0,0
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,Elizabeth B.,5,12/10/2021,"I stumbled upon this place on Instagram and immediately put in a reservation. We were floored by how beautiful the interior was, the handcrafted cocktails and the outstanding service. The decor is reminiscent of a 1920s East Asian style which is unique to the traditional western Roaring 20s vibe you normally see in American speakeasies. The drinks were absolutely outstanding. I don't normally like cocktails as they are usually too alcohol forward for me. The Shadow Boxer was very tea-forward and had aromatic quality that you don't often get to experience. I highly recommend making a reservation as I can see this place being very popular (as it should be!)",110,"Milwaukee, WI",1,2,0,1
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,Rachel H.,5,7/29/2021,"Such a cool space and hidden gem on the east side. A great date night spot or small gathering - don't come with a huge group, the actual inside is very narrow and intimate though they do have a patio space in the alley. The drinks themselves were delicious and the decor was amazing. The only recommendation I'd give to them is to more fully close off the back near the bar from the rest of the crossroads. We sat near the bar and the curtain and open door by the bar took away a bit of the mood with noise and light coming from there. Very small thing though and definitely will.be coming back.",115,"New Berlin, WI",0,1,0,0
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,Ellie E.,5,7/19/2021,"I took my SO here for a birthday surprise (even though he guessed it before we got there, boo...), and we had a great evening! My SO ordered two drinks off the regular menu and was very happy with them, while I opted for ""dealer's choice"". The bartender was able to mix up a cocktail based on my liquor and taste preferences. Since I'm a gin lover, I got a fruity gin fizz, which was one of the better craft cocktails I've had in Milwaukee. The bartender was very friendly and attentive despite appearing overwhelmed with drink orders on this busy Friday night. Overall, this is a very small-but-cozy and uniquely curated bar. Definitely make reservations ahead of time to ensure a spot.",123,"Milwaukee, WI",1,1,0,1
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,Abe C.,5,07/06/2021,"Yes I am all about this speakeasy! I've only been to two others speakeasies in my life, but this one takes the crown! If you enjoy hidden speakeasies and cocktails look no further. I heard of Shanghai from a friend when asking if they know any speakeasies in town. Let's say they made a really good recommendation to an enjoyable speakeasy. Shanghai is hidden in the black cat alley area and will need to buzz in just to get into the speakeasy. It's probably better to make a reservation for the speakeasy, but both times I went they weren't too busy so I was able to get in with no reservation. Once inside Shanghai you are instantly thrown back in time as if you were in the prohibition era. It is small inside which totally matches the vibe!Now the drinks is where Shanghai shines even brighter. Like I stated earlier this is more of a cocktail joint so they don't have many beer choices. However, the bartender can pretty much make whatever cocktail your heart desires. They have a good choice of unique mixed drinks on their menu, but my favorite is dealer's choice. This option you tell the bartender what you like and she'll make you a cocktail to that taste. Every time I go there I do this option and have never been disappointed!Another amazing part of Shanghai is the bartender. She is so friendly and fun to talk to. She makes Shanghai so much of a joy to be at. She gave us a run down on the history of speakeasies and even told us about some other really cool speakeasies throughout the country!Overall this is the place to go to! If you love cocktails Shanghai will be heaven for you. I recommend this place for any occasion from hanging with friends to a romantic date night. Shanghai is small so I would keep the group size on the smaller side.",324,"Milwaukee, WI",1,3,0,2
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,Nathan C.,5,06/12/2021,Great drinks. Great people. Unfortunately their neighbors have elected to blare music out of their apartment. Hopefully they can get that sorted soon.,23,"Chicago, IL",0,0,0,0
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,Mara C.,5,4/17/2021,This speak easy was amazing! We told the bartender we wanted to do dealer's choice and she was able to make amazing cocktails just knowing a few things about us! Would definitely recommend.,33,"Lower East Side, Milwaukee, WI",0,0,0,1
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee?osq=Bars,5,17,Speakeasies,1,,Nadia H.,5,3/27/2021,"I had such a good experience at Shanghai last night. I made a reservation for me and two of my friends for a girls night and I have to say it is probably the perfect spot for a girls night or an intimate date. There is not a whole lot of room, so I would recommend getting a reservation just in case althoughI do believe they allow walk-ins only if there is space available. There was only one other couple seated while we were there, and I can't imagine they would be able to seat much more than that. I actually really love that because it made the whole experience feel exclusive and all the more special. If you do decide to come, i would recommend coming early to make sure you get a spot. I did have a hard time finding the entrance in the Black Cat Alley, but honestly I thought that was part of the fun trying to find where the door was! The setting is very romantic with it's dim lighting and is decorated with vintage posters. I ordered two cocktails: ""Turtles all the way down"" and a ""Dealer's choice"" where our bartender made a customized drink based on the alcohol/flavors that I like. Both drinks were so refreshing and delicious! Also strong but not overbearing. Our bartender was so nice, friendly, and invested in making sure we had a quality evening. I will definitely be coming back!",242,"Milwaukee, WI",1,1,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Kim H.,5,4/19/2022,"Want to be a spy for the night? Check out this unique experience at SafeHouse. Hope you know the password or else you'll have to do something fun and slightly embarrassing to get in. But the real talk of the Yelp is how shockingly good the food is. Great curds! They have blackened chicken for an app and was really good. I got the Mac and cheese and it was phenomenal! Super seasoned, a little spicy, really creamy. Would get again! I had a team of 8 come from work and they were super accommodating and food came out quick. We got some good drinks and we loved the LIT flights. My coworkers said the burgers were really good as well. Absolutely no complaints on the food. Also shocked they are open for lunch. Not a big lunch crowd which is kind of nice. Same menu as dinner.",148,"Milwaukee, WI",1,0,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Elizabeth T.,2,3/24/2022,"A restaurant that rested on its laurels. It is time to say goodbye.In the early 2000s, Rachel Ray featured this restaurant in her ""$40 a Day"" show. My siblings and I visited and had a lot of fun.Today (2/24/2022), I hyped it up to my husband and we decided to go so I can show him how much fun it was, but we were disappointed. The good:+ Some staff were super nice (lady you meet when you open the door), the male bar tender, and our waiter. The rest were ""meh"". No greeting when you arrive and leave, no acknowledgement, nothing. The so so:+- Food was ok. Not bad, not great either. The bad:- Restaurant and bathroom looks dirty and dusty- ""entertainment"" that used to be free now require payment: the phone booth now requires a credit card payment for you to get your secret mission- The restaurant now charges a $3 entertainment fee in your check (which is fine...Covid surcharge...but I wish there was a bit of effort with the entertainment)- Some booths are there but no explanation on what they were there for- The drone reconnaissance monitor was not working (It said to tap the drone location but nothing happened when we did it.) - I noticed some people got mustaches and a postcard and were walking around the restaurant looking for clues. We did not get that. I wish we did. That's the reason we went there! To do some some fun ""spy stuff"". After thought:My husband thought that maybe Covid affected the business which is why they are doing bare minimum now. Understandable. However, I think it is time to say goodbye to this once fun restaurant. Good luck on your next missions, special agents. Over & out.",292,"Schaumburg, IL",0,2,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Amanda W.,4,12/23/2021,"We were lucky enough to run into a group that already knew the password! It is a bit hidden but once you see the door down the alley, it's easy enough to get too. There are other ways to get into the speakeasy without a password, but I can't spoil all the fun!It's waaayyyyy bigger than it looks, especially from the outside, and it felt like we just kept walking through all these rooms. Food is decent, drinks are decent, it's really the ambiance that makes it what it is. So, go get a few drinks while enjoying good company.",100,"St. Petersburg, FL",0,4,1,3
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Jessica ..,1,5/24/2022,"Came here after a recommendation. There were 5 in our party. It was a cool concept. The server was nice. If you want to come here, come for a drink. Avoid the food. Every meal sucked. I tried the blt sandwich. When you order a bacon sandwich you would think it has more than one slice of bacon for the entire sandwich. It wasn't peppered bacon or whatever the menu says. It was some sort of cheap breakfast bacon. It was thin and tasted like maple.  There was also one slice of turkey. The sandwich has no sauce, no Mayo no nothing. It was so bland and dry that I put ranch dressing on my sandwich to be able to eat it... and I'm not even a big ranch fan.. but this sucker was as dry as could be. The kids couldn't care less about their chicken tenders and my sisters beef dip sandwich was flavorless and bland. For the prices they charge, you would think that there would be some decent quality.. If you wanna save some money.. eat a handful of sand. That's about the same dryness and flavor you get outta the food.",196,"Murrieta, CA",0,0,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Torrie B.,4,01/01/2022,"Always a fun time here! We had to wait about 20 minutes for our table to be ready (even with reservations) but that gave us the opportunity to walk around and explore. Since it was NYE they were super busy, but our waitress was very nice and did the best she could to make sure we had a fun experience. The cheese curds were super salty but tasty if you like salt, like I do! Drinks were solid. My salad was fresh and husband's burger was great. Highly recommend as a place to take kids, go with friends, or enjoy with folks from out of town.",106,"Milwaukee, WI",1,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Paige L.,2,09/05/2021,"We came to eat on a Friday at 5:00. We had a party of 5 and were told a 1 hour wait. We went to the bar for drinks, but ended up being sat within 20 minutes  at a nice spot. The waiter was very friendly and nice.However the wait for food was terrible! We finally got the food around 7:15. It came out one by one, so some of us had food before the others. In total, from the first dish out, it took about 20 minutes for the 5th dish to come out. So our first diners finished eating before the last diner did, we wanted to wait but then the food would've been cold.On the other hand the food was DELICIOUS, we didn't take any photos because we were so hungry. We ordered the impossible burger, UN Burger, chicken sandwich, bacon mac and cheese, and a prime rib sandwich. Everyone loved their food.The menu drinks were not that great either. The spytini tasted like straight grey goose, it was gross. The Long Island flight was OK but incredibly sugary. One person couldn't finish it all because it made their stomach hurt so we all took one and felt weird afterwards.The mixed drinks that we ordered were good - brandy old fashioned & black Russian.",217,"Henderson, NV",0,0,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Mariana P.,4,4/14/2022,"Awesome ambience and service. Loved the attractions, fun for all ages. Will definitely be back whenever in Milwaukee!",18,"Wedding, Berlin, Germany",0,0,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Valinda K.,5,05/08/2022,"What a fantastic find!!!!!  Three sisters showed up at the bar and the staff could not have been more great!  We enjoyed the magician, the door man and the sweet bart",31,"Pickwick Park, Jacksonville, FL",0,0,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Apurba B.,5,6/13/2021,"After a 15 month hiatus, this Milwaukee legendary establishment is back and how!! Since their opening on Wednesday,  each night they have been absolutely SLAMMED!! And the people who work there are thrilled to have everyone back. If you haven't been here, I will not spoil it for you but know that if you're going to safehouse, bring with yourself your sense of adventure and the willingness to go on a covert mission The food is very tasty, the all American collection of burgers is very well made. Their house parmesan chips and onion rings are very good sides.",99,"West Allis, WI",0,0,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3?osq=Bars,3.5,909,"Burgers, Cocktail Bars, Eatertainment",3,2,Anonymous S.,5,10/01/2021,"The SafeHouse made things right.After my previous review on our disappointing experience at the SafeHouse, management reached out to me to make things right - and they more than delivered on their promise.The staff threw my daughter a birthday party with 3 friends, in addition to myself, my husband and my son.  Not only did they cover the large tab for the whole thing, but they threw in an awesome birthday dessert (highly recommend), a shirt for my daughter, the secret chair ride which made her feel incredibly special and some magic tricks, too. Most importantly, the staff was attentive, the food was PROMPT and HOT and DELICIOUS. We recommend the mission impossible burger & the mac and cheese.  We also eyed up some nachos on the way out that we definitely want to try on our next visit.Not only did they make things right with us, but they rectified things with my parents as well (with whom we split the bill the first time).  They credited their card for the first meal and offered to comp their next visit as well.It's inevitable when running a business that mistakes will be made, but what matters is how you respond. I can honestly say that the SafeHouse went above and beyond to correct their mistakes and show us what true Milwaukee hospitality is all about.  The SafeHouse management are a class act and I am proud that they call Milwaukee home. Thank you.",242,"Costa Mesa, CA",0,3,0,0
The Rooftop,https://www.yelp.com/biz/the-rooftop-milwaukee?osq=Bars,4,1,Bars,1,,Marissa M.,4,07/05/2019,"I am a sucker for rooftops, and I am so excited to see another rooftop join the sparse rooftop bars of Milwaukee! This one is located on top of the Milwaukee Brewing Company/Glass + Griddle complex. It features MKE Brewing beers and cocktails. The cocktails are both made at the bar or served in a can, so lots of the alcoholic seltzers like White Claw and swell.  It also has a food menu, which I am guessing Glass + Griddle fulfills. The view is solid. Some of it is blocked by the roof, but the patio is beautiful and covered in a pergola with lights. Too, the couches are quite comfortable. The patio also has bags and large Jenga. I'm sure I'll continue to come back!",126,"Milwaukee, WI",1,1,0,0
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,Jeff R.,4,3/27/2022,"Fun trivia night.  Will definitely be back.  Ambience is that of the north woods, be it Boulder Junction or Haywood . . . by the overall clientele is more 3rd Ward than hearing about the one that ""got away"" this morning!   First time there and I look forward to trying it more.",53,"Brookfield, WI",0,0,0,0
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,Trevor B.,5,12/22/2021,This is my favorite bar I have been to in Milwaukee. The decor is cabin themed and it's just a cozy environment. The drinks are good and the prices are fair. The bartender was extremely nice and attentive unlike many bartenders at other bars. The space was clean and well kept. Highly recommend trying this spot if you are in the area.,62,"Chicago, IL",0,0,1,0
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,P D.,2,10/08/2021,Waited over 15 min at front bar  gave up and went to the back bar Finally Got a cocktail Over priced but thats the area I'll,26,"New Berlin, WI",0,0,0,0
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,Kendall S.,5,9/27/2021,"My party stopped by here when visiting Milwaukee for a wedding and we had an awesome experience!The bartender that was working was super personable and was more than happy to talk us through the different types of beer they had on tap and what his favorites were. Besides that, the decor in this bar is super cool! All of the lights inside were awesome for pictures. This is definitely a must if you are in the Third Ward!",78,"Jersey City, NJ",0,2,0,2
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,Travis H.,1,3/24/2021,"Cool place!  Horrible manager, sat at a table when we walked up to bar took a minute for her to get up and wait on us?? Asked for wine options and when asked if I could taste she got pissed and passed us over to bartender who was super sweet!  Husband accidentally kicked over wood plate on plastic social distance station and manager ran over.  I asked did he brake it no reply, again did he brake it she rudely said I don't know yet.  I asked if she was manger she said yes why? Well I wanted to say because you suck at customer service and hospitable!  Pathetic and poor manager!  Sweet bartender!  Ok drinks! Won't be back!",119,"New Braunfels, TX",0,0,0,0
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,Nolan H.,4,3/19/2021,I'll definitely come in once post-COVID happens bc it could likely be much more fun. Good beer selection & cool atmosphere to watch sports in the Third Ward,28,"Commerce, MI",0,0,0,0
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,Ashlyn E.,5,2/20/2021,"Visited this bar after a celebratory dinner down in the Third Ward! Upon entering, I felt immediately transported out of the snowy tundra and into the deep woods. The decor is incredible - from the antler chandeliers to the log cabin features, every inch of the bar was decorated to perfection, truly highlighting the rustic and northern vibe. Although the atmosphere was relaxed, there was a sophisticated nature to the bar. The drink menu impressed me. Catering to any mood, they offer a variety of draft beers, microbrews, and a full speciality cocktail list. I went for the Miltown Mule and my boyfriend ordered one of the speciality cocktails with whiskey. We both enjoyed our drinks and look forward to returning! The staff was efficient, polite, and direct. Wish we could have had a bit more of a walk through with the drink menu regarding their best sellers and such, but was still great service! Whether you're looking for a quick drink with some friends, a romantic date night, or a chill spot to hang out, Camp Bar will not disappoint!",181,"Milwaukee, WI",1,1,0,0
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,Cameron B.,5,2/13/2021,Cool space to get drinks in. Located in the heart of third ward. Good pizza. It's all about the vibe.,20,"Wayzata, MN",0,1,0,0
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,Lauryn B.,5,01/05/2021,I always have a great time at this Camp Bar and love stopping in for some drinks!I think the theme is so fun and they capture the up north woodsy vibes perfectly. The atmosphere is laid back and chill so it's a great place to stop by for a few drinks or to bring friends. I've also always had great service and been offered a great drink selection! They also have snacky type foods you can order but they don't look to be very gluten-free friendly (I've never eaten anything here).,91,"Lower East Side, Milwaukee, WI",0,0,0,1
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee?osq=Bars,4,76,Bars,1,,Dawn M.,5,11/23/2020,Santa Camp is a must see! It is such a fun atmosphere. The service is great and I feel like Santa camp is some thing to make the holidays extra bright after an otherwise difficult 2020. Plus who doesn't need some amazing content for the gram?!?,46,"Neenah, WI",0,0,0,0
The Outsider,https://www.yelp.com/biz/the-outsider-milwaukee?osq=Bars,4,149,"Lounges, Cocktail Bars",2,3,John F.,5,4/16/2022,"Pretty nice place to have a drink and take in the views of the 3rd Ward in downtown Milwaukee.  Unfortunately it was pretty cool outside so this rooftop bar was enclosed to keep out the frigid weather.  But the views were still there!Has a number of fireplaces so even though the only thing separating us from the 30 degree temp was a vinyl wall, it was nice and kozy.  It was a Friday night and apparently this is the place to be, because it was very busy.  Mostly younger adults (mostly in there 20's) It did start to clear out a bit after 11pm.  Wait staff were busy but hard working.  Drinks took a little while, but no big issue.  Overall great place to have a drink, take in the views and do some people watching.",136,"Valders, WI",0,36,11,30
The Outsider,https://www.yelp.com/biz/the-outsider-milwaukee?osq=Bars,4,149,"Lounges, Cocktail Bars",2,3,Meg H.,5,5/19/2022,"Located on the 9th floor of the Journeyman Hotel, this rooftop establishment is sure to please! Cool vibe, beautiful views and delicious cocktails. We stopped in on a Saturday night before dinner, around 7pm and the place was hopping! We were able to snag a seat on a shared bench outside and it was lovely. The sun was setting, Disney movies were playing on the outdoor tvs, and everyone was having a great time!",74,"Naperville, IL",0,1,1,2
